Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.0345734
2,Intensity 2,36,0,0.1,0.4,0.0111489
3,Intensity 3,36,0,0.15,0.4,0.00543893
4,Intensity 4,36,0,0.2,0.4,0.0031793
5,Intensity 5,36,0,0.25,0.4,0.00206108
6,Intensity 6,36,0,0.3,0.4,0.0014297
7,Intensity 7,36,0,0.35,0.4,0.00104049
8,Intensity 8,36,0,0.4,0.4,0.000784946
9,Intensity 9,35,0,0.45,0.4,0.000608986
10,Intensity 10,36,0,0.5,0.4,0.000483218
11,Intensity 11,36,0,0.7,0.4,0.000224384
12,Intensity 12,36,0,0.9,0.4,0.000122791
13,Intensity 13,36,0,1.3,0.4,4.83373e-05
14,Intensity 14,36,0,1.8,0.4,2.00663e-05
15,Intensity 15,35,0,2.6,0.4,6.94532e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
1,Story Drift Ratio,6,1,5.461e-05,5.502e-05,4.053e-05,5.196e-05,5.794e-05,9.006e-05,5.159e-05,5.532e-05,6.286e-05,5.52e-05,8.233e-05,5.786e-05,4.466e-05,4.816e-05,4.645e-05,5.333e-05,4.909e-05,4.675e-05,6.217e-05,6.032e-05,5.401e-05,5.825e-05,5.46e-05,7.538e-05,5.79e-05,4.024e-05,4.841e-05,6.184e-05,8.325e-05,6.206e-05,5.404e-05,4.799e-05,3.512e-05,5.527e-05,4.95e-05,3.925e-05
1,Story Drift Ratio,6,2,9.925e-05,0.0001144,8.577e-05,0.0001314,0.0001477,0.0001112,8.675e-05,0.0001083,0.000107,0.0001197,0.0001025,0.0001057,9.672e-05,0.0001181,8.762e-05,0.0001046,8.756e-05,0.0001423,9.97e-05,0.0001109,8.195e-05,9.088e-05,0.0001043,0.0001268,0.0001278,0.0001297,0.0001168,0.0001004,0.0001096,0.0001009,0.0001056,9.424e-05,8.844e-05,9.5e-05,0.0001217,0.0001294
1,Story Drift Ratio,7,1,1.073e-05,1.198e-05,1.361e-05,1.35e-05,1.527e-05,1.592e-05,1.163e-05,1.213e-05,1.165e-05,1.03e-05,1.364e-05,1.31e-05,1.356e-05,1.265e-05,1.044e-05,1.115e-05,1.073e-05,1.598e-05,1.166e-05,1.064e-05,1.249e-05,1.272e-05,1.708e-05,1.197e-05,1.283e-05,1.16e-05,1.271e-05,1.278e-05,1.601e-05,1.079e-05,1.079e-05,1.194e-05,9.999e-06,1.11e-05,1.304e-05,1.086e-05
1,Story Drift Ratio,7,2,1.224e-05,1.38e-05,1.205e-05,1.285e-05,1.743e-05,1.188e-05,9.201e-06,1.135e-05,1.21e-05,1.15e-05,1.184e-05,1.401e-05,1.309e-05,1.469e-05,1.142e-05,1.218e-05,9.508e-06,1.358e-05,1.452e-05,9.595e-06,8.178e-06,7.588e-06,1.208e-05,1.5e-05,1.403e-05,1.195e-05,1.146e-05,1.207e-05,7.803e-06,1.118e-05,1.038e-05,1.161e-05,1.077e-05,1.345e-05,1.304e-05,1.159e-05
1,Story Drift Ratio,8,1,1.058e-05,1.402e-05,1.403e-05,1.312e-05,1.352e-05,2.221e-05,1.47e-05,1.376e-05,1.278e-05,1.271e-05,1.644e-05,1.347e-05,1.485e-05,1.771e-05,1.09e-05,1.428e-05,1.184e-05,1.583e-05,1.709e-05,1.183e-05,1.341e-05,1.606e-05,1.497e-05,1.495e-05,1.201e-05,1.183e-05,1.312e-05,1.44e-05,1.602e-05,1.181e-05,1.106e-05,1.128e-05,1.185e-05,1.306e-05,1.295e-05,1.16e-05
1,Story Drift Ratio,8,2,8.868e-06,9.756e-06,1.153e-05,1.091e-05,1.366e-05,1.017e-05,8.452e-06,1.051e-05,1.009e-05,9.325e-06,1.201e-05,1.084e-05,9.294e-06,1.403e-05,1.048e-05,9.306e-06,8.594e-06,8.769e-06,1.115e-05,1.013e-05,9.175e-06,5.874e-06,1.121e-05,1.275e-05,1.166e-05,1.202e-05,1.101e-05,1.071e-05,7.77e-06,8.353e-06,9.628e-06,8.634e-06,8.365e-06,1.344e-05,1.318e-05,1.028e-05
1,Story Drift Ratio,9,1,6.462e-06,1.07e-05,1.039e-05,9.429e-06,9.73e-06,1.994e-05,1.181e-05,1.015e-05,9.33e-06,8.795e-06,1.261e-05,1.008e-05,1.086e-05,1.366e-05,7.792e-06,1.15e-05,8.961e-06,1.228e-05,1.334e-05,8.08e-06,9.964e-06,1.29e-05,1.184e-05,1.169e-05,1.008e-05,8.002e-06,9.173e-06,1.005e-05,1.378e-05,8.166e-06,7.703e-06,7.138e-06,8.106e-06,9.107e-06,9.127e-06,7.845e-06
1,Story Drift Ratio,9,2,5.527e-06,7.47e-06,5.195e-06,6.199e-06,8.94e-06,4.929e-06,5.034e-06,5.725e-06,6.213e-06,5.956e-06,5.927e-06,6.992e-06,4.831e-06,6.822e-06,6.33e-06,5.679e-06,5.12e-06,5.383e-06,7.081e-06,5.396e-06,5.391e-06,3.032e-06,5.412e-06,7.498e-06,8.442e-06,8.924e-06,5.123e-06,7.374e-06,3.86e-06,4.384e-06,5.351e-06,5.71e-06,4.37e-06,8.766e-06,6.655e-06,4.727e-06
1,Story Drift Ratio,10,1,7.992e-06,1.288e-05,1.281e-05,1.062e-05,1.11e-05,2.358e-05,1.341e-05,1.228e-05,1.24e-05,1.149e-05,1.405e-05,1.235e-05,1.315e-05,1.578e-05,9.174e-06,1.293e-05,1.175e-05,1.446e-05,1.475e-05,1.019e-05,1.172e-05,1.628e-05,1.366e-05,1.403e-05,1.069e-05,1.053e-05,1.069e-05,1.216e-05,1.639e-05,9.622e-06,9.501e-06,8.744e-06,9.778e-06,1.175e-05,1.165e-05,1.019e-05
1,Story Drift Ratio,10,2,4.782e-06,6.736e-06,5.281e-06,7.542e-06,8.187e-06,5.821e-06,3.894e-06,5.716e-06,6.312e-06,5.533e-06,6.956e-06,6.599e-06,5.455e-06,8.064e-06,5.208e-06,5.699e-06,4.618e-06,6.824e-06,5.538e-06,5.817e-06,5.454e-06,3.335e-06,5.746e-06,6.998e-06,8.18e-06,8.81e-06,6.11e-06,5.886e-06,4.611e-06,5.031e-06,5.139e-06,5.54e-06,4.347e-06,8.207e-06,6.64e-06,6.082e-06
